Instance Init Pivot Neighborhood Cost Time
N-stabu2_150 cw best insert 4254910 0.088941
N-stabu2_250 random first transpose 8062091 7.1e-05
N-stabu2_250 random first exchange 11173048 5.03721
N-stabu2_250 random first insert 11246083 4.78912
N-stabu2_250 random best transpose 8105175 0.000139
N-stabu2_250 random best exchange 11086653 0.800122
N-stabu2_250 random best insert 11282792 0.829422
N-stabu2_250 cw first transpose 7696158 0.001545
N-stabu2_250 cw first exchange 11182509 5.65662
N-stabu2_250 cw first insert 11206675 5.45638
N-stabu2_250 cw best transpose 7698002 0.001489
N-stabu2_250 cw best exchange 11065697 0.732531
N-stabu2_250 cw best insert 11248638 0.750752
N-stabu3_150 random first transpose 2651712 3.1e-05
N-stabu3_150 random first exchange 4398699 0.418746
N-stabu3_150 random first insert 4459764 0.435789
N-stabu3_150 random best transpose 2647243 5.5e-05
N-stabu3_150 random best exchange 4350861 0.069065
N-stabu3_150 random best insert 4432284 0.100955
N-stabu3_150 cw first transpose 2741616 0.00031
N-stabu3_150 cw first exchange 4360481 0.399304
N-stabu3_150 cw first insert 4449751 0.523873
N-stabu3_150 cw best transpose 2742106 0.000314
N-stabu3_150 cw best exchange 4336190 0.070214
N-stabu3_150 cw best insert 4409752 0.086237
N-stabu3_250 random first transpose 7552108 8.9e-05
N-stabu3_250 random first exchange 11567513 5.9822
N-stabu3_250 random first insert 11751489 5.03128
N-stabu3_250 random best transpose 7592894 0.000177
N-stabu3_250 random best exchange 11549906 0.833054
N-stabu3_250 random best insert 11614266 0.876006
N-stabu3_250 cw first transpose 7801188 0.001815
N-stabu3_250 cw first exchange 11512861 4.84133
N-stabu3_250 cw first insert 11698989 5.51911
N-stabu3_250 cw best transpose 7802127 0.001566
N-stabu3_250 cw best exchange 11500517 0.807302
N-stabu3_250 cw best insert 11567511 0.72964
N-t59b11xx_150 random first transpose 2190795 2e-05
N-t59b11xx_150 random first exchange 3173245 0.282542
N-t59b11xx_150 random first insert 3187265 0.310499
N-t59b11xx_150 random best transpose 2197385 4.2e-05
N-t59b11xx_150 random best exchange 3127495 0.066118
N-t59b11xx_150 random best insert 3173655 0.093031
N-t59b11xx_150 cw first transpose 2063680 0.000305
N-t59b11xx_150 cw first exchange 3118565 0.311053
N-t59b11xx_150 cw first insert 3138495 0.355533
N-t59b11xx_150 cw best transpose 2063680 0.000319
N-t59b11xx_150 cw best exchange 3088185 0.071529
N-t59b11xx_150 cw best insert 3146125 0.090625
N-t59b11xx_250 random first transpose 5591620 5.9e-05
N-t59b11xx_250 random first exchange 8156485 3.17821
N-t59b11xx_250 random first insert 8225225 3.61587
N-t59b11xx_250 random best transpose 5591855 7.3e-05
N-t59b11xx_250 random best exchange 8109395 0.782449
N-t59b11xx_250 random best insert 8146530 0.865687
N-t59b11xx_250 cw first transpose 5815370 0.001607
N-t59b11xx_250 cw first exchange 8080415 3.22307
N-t59b11xx_250 cw first insert 8223945 3.8565
N-t59b11xx_250 cw best transpose 5815290 0.001451
N-t59b11xx_250 cw best exchange 8048630 0.599707
N-t59b11xx_250 cw best insert 8182365 0.71023
N-t59d11xx_150 random first transpose 944878 2.3e-05
N-t59d11xx_150 random first exchange 1420614 0.306446
N-t59d11xx_150 random first insert 1433021 0.344589
N-t59d11xx_150 random best transpose 945637 4.5e-05
N-t59d11xx_150 random best exchange 1408677 0.07272
N-t59d11xx_150 random best insert 1434708 0.096476
N-t59d11xx_150 cw first transpose 990143 0.000301
N-t59d11xx_150 cw first exchange 1409362 0.287564
N-t59d11xx_150 cw first insert 1435930 0.348019
N-t59d11xx_150 cw best transpose 990542 0.000306
N-t59d11xx_150 cw best exchange 1373179 0.053279
N-t59d11xx_150 cw best insert 1428336 0.080887
N-t59d11xx_250 random first transpose 2676664 5.2e-05
N-t59d11xx_250 random first exchange 3749417 3.71995
N-t59d11xx_250 random first insert 3774817 3.78415
N-t59d11xx_250 random best transpose 2685286 0.000117
N-t59d11xx_250 random best exchange 3714911 0.684561
N-t59d11xx_250 random best insert 3782677 0.834252
N-t59d11xx_250 cw first transpose 2672170 0.001402
N-t59d11xx_250 cw first exchange 3744711 4.27427
N-t59d11xx_250 cw first insert 3775791 4.14058
N-t59d11xx_250 cw best transpose 2672300 0.001654
