Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1
N-stabu3_250	36.53858742	36.195857	16.71538106	16.71165847	2.796581435	2.944535502	3.093581977	3.850856049	1.250605551	2.403709482	2.494396157	2.443153816	2.681819767	1.680947101	
N-t59b11xx_150	32.3734778	32.17005448	20.20342331	20.1997191	2.046734886	3.458968067	3.290580482	3.959500548	1.613958729	2.034078807	1.688351777	2.220987483	3.132688182	2.515318486	
N-t59b11xx_250	33.52734397	33.52455031	17.26349902	17.26011096	3.036468531	3.59627005	2.676799918	4.658276182	2.219293835	3.154812641	2.052387627	2.466740609	2.260723189	1.519155578	
N-t59d11xx_150	35.40165872	35.34976827	19.93946798	19.94794547	2.87708254	3.693177739	3.272653188	3.824100275	2.028854917	1.913520025	1.439190755	2.314696755	1.434541809	2.169690647	
N-t59d11xx_250	30.31638562	30.09192258	15.21222587	15.19444481	2.388597007	3.286917752	2.607202447	3.576491207	1.727339634	1.522714321	2.056276127	2.090432413	1.822519042	2.080539586	
N-t59f11xx_150	34.10136338	33.87431635	18.86375429	18.86641019	3.50922083	3.466402545	2.783382878	3.027919984	1.861720906	1.605912421	2.526537944	2.579202492	1.158231378	1.778222011	
N-t59f11xx_250	29.69256745	29.56554536	16.71880784	16.69626843	3.143346141	3.377205043	2.88629669	3.674925607	1.662582025	2.670870016	2.155669188	3.057721426	2.320908108	2.445000083	
N-t59n11xx_150	36.73532731	36.5613243	20.27997241	20.27840482	3.010722348	3.009154753	2.686857286	3.470968146	2.257336343	1.002947078	1.959806872	2.195573113	1.886129922	2.189616253	
N-t59n11xx_250	33.23538532	33.22278854	17.58812899	17.58776562	2.590333427	4.29707561	3.284488522	3.584025349	2.166161181	2.714484356	2.359836629	2.317443629	2.421003672	2.47090629	
N-t65b11xx_150	33.04354186	32.80089547	17.46891306	17.48352453	2.556216179	4.622522171	3.783625738	3.766054793	1.487007107	2.412983534	1.372501563	1.60679633	1.979969742	1.57528019	
N-t65b11xx_250	36.41775186	35.77124251	15.94837697	15.95212249	2.974829912	4.088990179	2.833160318	4.536188384	2.858001125	2.276427527	2.442631109	2.480844618	1.948298471	2.228280011	
N-t65d11xx_150	32.96629972	32.61263934	16.68983103	16.71497609	3.0231107	3.454959575	3.109390571	3.585910562	1.355838585	3.075479856	2.512736184	2.501638643	2.384622797	2.781718107	
N-t65d11xx_250	32.72144432	32.43022442	14.97694108	15.02420524	2.953378724	4.101972519	3.323782125	3.48553888	2.825808281	2.633768249	2.198360597	2.22619512	2.303368287	1.828074822	
N-t65f11xx_150	32.1646769	32.13476545	17.96832616	17.9327806	3.123071187	3.345713611	3.334698603	3.455325598	2.596186655	2.04553123	2.14849623	2.325496008	1.752082564	1.912559831	
N-t65f11xx_250	31.11999702	31.05634333	16.65153509	16.66881303	3.089600214	3.625561221	3.093833488	3.492284442	1.852913473	2.531878276	1.76984142	1.962384032	1.319544752	2.087443979	
N-t65l11xx_150	49.41080364	49.34055786	14.46786847	14.46786847	1.320068194	2.492541319	2.396643988	2.536740911	1.766405152	1.393471089	1.282182828	1.425436866	1.146821576	1.503180792	
N-t65l11xx_250	40.61799254	40.53213939	17.01092977	17.01092977	2.108655258	3.513825058	2.954278699	3.541592246	1.96576681	2.28891684	2.203664068	1.837137188	2.669702546	2.008993567	
N-t65n11xx_150	37.73116919	37.14449652	19.31407778	19.31680143	2.745976726	3.507688844	3.501878406	5.290040728	1.86496905	2.075415855	1.95648345	2.487956959	2.446194435	2.182001079	
N-t65n11xx_250	33.33823062	33.17759952	16.98729923	16.98939807	2.731778234	3.935322193	2.317537475	4.953678634	2.347760749	2.850362609	2.239950411	2.668673156	1.994386307	2.157745903	
N-t69r11xx_150	35.89129077	35.81557356	20.43975868	20.44201071	3.623486489	3.689309939	3.323628788	3.560109066	2.23980232	2.178558846	2.288849394	2.894949771	2.790867072	3.084415708	
N-t69r11xx_250	33.80582625	33.47640947	18.00129225	17.99128154	2.620998596	4.217079704	2.979630296	4.320681902	1.903974069	2.609130326	2.714511509	2.643402469	3.067567385	2.348436995	
N-t70b11xx_150	37.27022547	36.69309602	18.2552109	18.26978503	2.690399492	3.725567207	2.680334426	3.250239006	2.206198277	2.352644474	1.71553925	1.667401074	2.091574689	2.531089497	
N-t70b11xx_250	33.80288465	33.68055286	16.15288246	16.133062	3.132825218	3.359116988	2.764554407	3.921750326	1.423038065	1.970090593	1.942849765	1.889230208	2.308510653	2.507632451	
N-t70d11xn_150	38.05491947	38.05697951	16.43673542	16.45258051	3.315538646	4.177662813	3.572939876	3.916296018	1.486005418	2.986928914	1.766204355	2.383098658	1.847524191	1.710652109	
N-t70d11xn_250	29.98110154	29.69858808	15.17743433	15.16714306	3.314900451	3.790153299	2.835840162	3.058092151	2.024986679	1.995335983	1.869558902	1.971991567	1.828367516	1.744912874	
N-t70d11xx_150	30.62349352	31.02378973	17.49559213	17.54538013	3.329431059	4.216528905	3.064812838	3.556619197	2.34840978	2.497336488	2.162198757	1.951077536	2.406862905	1.48623833	
N-t70d11xx_250	30.96965233	31.00789286	16.00794336	16.02873438	3.083075456	3.928082623	2.668682555	3.50839066	2.019391575	2.892097253	2.321456826	1.895742634	1.904146323	1.598003912	
N-t70f11xx_150	37.05526323	36.91712991	18.49831178	18.46330273	3.984138551	4.219046748	4.261686722	4.301239375	2.188483052	1.86881917	2.49338993	2.662668295	2.255510916	2.34651891	
N-t70f11xx_250	30.63533521	30.55707896	16.11893302	16.11081444	3.115617503	4.139690942	3.654917311	4.143518374	2.090771216	2.581352239	2.391945907	1.971149264	2.430242302	1.687359945	
N-t70l11xx_150	37.91311673	37.91311673	19.76482276	19.76322042	3.203986614	3.925495923	3.956855941	4.568261831	2.416552596	2.936167485	2.602423649	3.413892717	1.993306811	2.720309846	
N-t70l11xx_250	39.77664743	39.77143689	19.16958337	19.17164962	2.315456982	3.509749103	2.359297403	3.628333848	2.722148756	2.81180601	2.315007798	2.061218476	1.871123537	1.89178603	
N-t70n11xx_150	37.4953236	37.40037285	20.37352212	20.34759772	3.307363267	4.094263647	2.719216619	3.550272786	2.062465158	2.667578587	1.377470853	2.899106662	2.913544234	2.447642724	
N-t70n11xx_250	32.47869612	31.95283895	17.72609935	17.71677187	2.721496979	3.92871023	2.888655247	4.69929103	2.769975331	2.654650035	3.109405619	2.431567794	2.438236124	1.999967272	
N-t74d11xx_150	32.93169977	32.78325431	16.8326798	16.87375027	2.944547727	3.956888665	2.770038114	3.967574013	1.803822971	2.316943173	2.02212761	2.294678484	1.839561415	1.945041977	
N-t74d11xx_250	31.29963467	31.21464578	17.01066096	17.01650618	2.709607966	3.244031477	3.043624195	3.475523173	1.829829822	2.030077465	2.092487797	2.42050327	1.955493701	2.293852908	
N-t75d11xx_150	36.58099758	36.31891883	17.74446337	17.80327811	2.624365545	4.244265277	3.376190348	4.250892437	3.084854607	2.188808708	1.422962123	2.27721232	2.283424634	1.990813243	
N-t75d11xx_250	29.43353174	29.35553696	15.91269781	15.90177726	2.266425482	3.029804583	2.309715942	2.91366783	2.01519691	2.222555417	1.923171705	2.134519489	1.525642962	1.559803652	
N-t75e11xx_150	35.43166133	35.12386146	19.56174464	19.46009729	3.142422264	3.473621111	3.230158205	4.095571555	2.50915602	2.501378812	2.178527292	1.884845711	2.582927628	3.047469614	
N-t75e11xx_250	30.86167136	30.55265759	16.6676903	16.66942787	2.845465194	3.954939298	2.57233297	4.627355246	2.784096597	3.016573423	2.373357314	2.616325011	2.172529942	2.091852604	
N-t75k11xx_150	35.45228452	34.81346604	20.0688118	20.07679055	2.684360883	3.790098054	3.016289612	4.517071918	1.791909164	2.344129071	1.530297173	2.062213446	1.931310149	1.500457967	
N-t75k11xx_250	30.91313334	30.76520409	15.43799002	15.4245308	2.887624824	4.109604433	3.531053539	3.96824602	2.30758389	2.736031544	1.406769033	1.626391203	1.854538357	2.190798928	
N-t75n11xx_150	37.95957074	37.92658342	20.18118357	20.17636456	3.503884472	4.540145282	3.915738337	3.760956093	1.77770103	2.297179613	1.972813859	2.671399248	1.906552372	2.429759956	
N-t75n11xx_250	34.20494672	34.13133251	16.0319182	16.04367526	2.874556182	3.2343177	3.418651554	3.932912289	2.210724469	2.466970847	2.750046299	2.984325545	2.277310958	1.460770105	
N-tiw56n54_150	31.30348651	31.32830914	16.77890554	16.76446545	2.698983824	3.331244891	3.032657275	4.141679943	1.480884784	1.959555818	1.795702582	2.025311924	2.027818055	1.632326704	
N-tiw56n54_250	31.02801414	31.00990792	15.67198386	15.67898811	2.437383441	3.325446009	2.759912442	3.406399883	2.051625605	2.117808613	1.690882945	2.169792531	2.298394359	2.217011654	
N-tiw56n58_150	38.26190592	38.22953595	17.23129466	17.17313258	4.10873539	4.333161386	3.084321165	4.590736304	1.901605689	1.446522046	2.172076663	2.360324461	2.228248075	1.519051543	
N-tiw56n58_250	31.21637675	31.0740483	15.36940891	15.36600294	2.14397502	4.075369058	2.896248164	4.294589971	2.443597576	2.566075048	1.723560778	2.394916222	2.43781774	1.604420473	
N-tiw56n62_150	34.98633308	35.27786537	16.55630482	16.51696671	2.751086254	3.378836465	2.941199972	4.546133463	2.302877644	2.313449762	2.404111816	2.321686179	2.132125653	2.158064221	
N-tiw56n62_250	32.82804035	32.628197	15.87869879	15.83215959	2.414655017	3.33356265	3.00735382	3.663488822	1.705390991	2.007388821	1.807931697	2.546186164	2.033458492	2.163324076	
N-tiw56n66_150	37.11444051	36.40790864	17.29216713	17.32191634	3.712815267	3.651988334	3.120867671	5.48244251	2.130460961	2.326559022	2.21235432	2.394455544	2.398298744	1.725833749	
N-tiw56n66_250	31.84961504	31.49965999	15.90710866	15.81435959	2.923429969	3.309080658	3.500928422	3.971730991	1.619542962	2.263460998	2.175664997	2.149261024	2.09552205	2.812525836	
N-tiw56n67_150	32.67522881	32.36708604	14.74980678	14.77496559	2.593254067	3.553123865	3.655318371	3.497412056	1.795420506	2.108114623	2.736073523	2.828322501	1.556475002	1.450909131	
N-tiw56n67_250	32.9139089	32.919411	16.41934096	16.38828888	2.637656055	3.077428774	2.454742857	3.226633705	1.72315331	3.06356285	1.679389482	1.530927651	1.442103522	1.577189559	
N-tiw56n72_150	39.26589742	39.47450946	15.3628938	15.31963847	2.898227644	3.698439061	3.084377864	4.82919466	2.71485795	1.907586413	1.628905099	2.699891463	1.754488193	1.863073807	
N-tiw56n72_250	33.10153649	33.08231625	15.39787686	15.40259447	2.24561975	3.089722725	2.324985071	3.134853959	1.912687204	2.392045136	1.37769552	1.378054273	1.45558995	1.209287492	
N-tiw56r54_150	34.82871909	33.95071134	16.2872368	16.22774976	2.87103211	4.373653714	3.21094311	4.576118356	2.208847496	2.095613405	1.532886937	1.898680014	2.870301568	1.287320287	
N-tiw56r54_250	31.07668799	31.02005614	16.20270015	16.22469107	2.521457902	3.444573877	3.241712879	3.610657679	2.324628699	1.645549101	2.14128726	2.716611606	1.884265769	1.66854532	
N-tiw56r58_150	33.85776207	34.13488942	17.2571855	17.29679856	3.118523409	3.896595984	2.309941401	3.700827117	1.911186382	2.793171464	2.108923599	2.265653513	1.698768551	1.900770527	
N-tiw56r58_250	28.71324367	28.61256802	15.63455884	15.6088426	2.834406695	3.392681099	3.056736168	3.100032251	1.98139216	2.589955374	1.99152181	2.599104735	2.152615917	2.037497349	
N-tiw56r66_150	35.58099812	35.51664172	16.87595807	16.90682234	3.806559818	3.604525043	3.126515196	4.683589634	2.34084158	2.809525159	2.619496021	2.466153636	1.826299559	2.122369902	
N-tiw56r66_250	32.08807913	31.85859146	16.44953312	16.43389175	2.954421356	3.940312997	3.166873265	3.483479757	2.165623167	2.459697188	2.079191434	2.395919177	2.154225576	1.948442471	
N-tiw56r67_150	36.67357698	36.24543912	16.13822959	16.04364438	3.276781594	3.002411558	2.751967445	3.943351973	1.153355927	1.672188595	1.72023496	1.968879766	1.910669746	2.268488733	
N-tiw56r67_250	34.40462502	34.4060996	16.33332439	16.35273963	2.39308477	3.367419973	2.614668094	4.097901982	2.519123164	1.803575959	1.643697948	1.640257272	2.047391344	1.7907774	
N-tiw56r72_150	35.21335752	36.10309382	16.41164009	16.37406605	3.23845032	4.024565845	2.999300932	4.926094942	2.725127295	3.48730309	2.973909237	2.406757236	2.075142417	2.95259013	
N-tiw56r72_250	30.42556484	30.2783343	15.78983461	15.76813451	2.710714065	3.696196471	2.480990942	3.862872554	1.609940658	2.732172604	1.956457819	1.946929637	2.067279968	1.917110454	
Avg % dev	34.60584156	34.47014107	17.08630648	17.07829654	2.815872651	3.602695253	2.965991558	3.846478595	2.021062173	2.303707807	2.016441865	2.260751608	2.063339148	1.995886448	
