Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1
N-t74d11xx_250	16783671	16804434	20274503	20273075	23768286	23637725	23686685	23581171	23983218	23934297	23919050	23838915	23952518	23869856
N-t75d11xx_150	6114949	6140219	7931194	7925523	9389095	9232902	9316603	9232263	9344694	9431092	9504936	9422568	9421969	9450183
N-t75d11xx_250	17653655	17673167	21036170	21038902	24450066	24259091	24439236	24288145	24512916	24461041	24535938	24483065	24635388	24626842
N-t75e11xx_150	26841183	26969136	33438338	33480593	40263882	40126202	40227410	39867656	40527132	40530365	40664575	40786659	40496465	40303354
N-t75e11xx_250	73890813	74221068	89060471	89058614	103832819	102647081	104124726	101928444	103898406	103649949	104337379	104077710	104552011	104638234
N-t75k11xx_150	995065	1004913	1232216	1232093	1500214	1483168	1495097	1471961	1513972	1505459	1518005	1509805	1511823	1518465
N-t75k11xx_250	2828312	2834368	3461841	3462392	3975634	3925608	3949293	3931395	3999380	3981840	4036258	4027267	4017927	4004161
N-t75n11xx_150	1081423	1081998	1391317	1391401	1682018	1663955	1674839	1677537	1712107	1703052	1708706	1696529	1709861	1700741
N-t75n11xx_250	2977188	2980519	3799507	3798975	4394870	4378591	4370250	4346980	4424908	4413313	4400504	4389903	4421895	4458843
N-tiw56n54_150	575639	575431	697347	697468	815329	810031	812533	803240	825536	821525	822898	820974	820953	824267
N-tiw56n54_250	1447533	1447913	1769814	1769667	2047572	2028934	2040803	2027235	2055668	2054279	2063239	2053188	2050489	2052197
N-tiw56n58_150	713317	713691	956303	956975	1107920	1105327	1119756	1102351	1133421	1138679	1130296	1128121	1129647	1137841
N-tiw56n58_250	1999304	2003441	2459921	2460020	2844339	2788200	2822473	2781828	2835630	2832070	2856559	2837045	2835798	2860022
N-tiw56n62_150	1057721	1052978	1357563	1358203	1582163	1571950	1579070	1552959	1589455	1589283	1587808	1589149	1592233	1591811
N-tiw56n62_250	2782763	2791042	3484931	3486859	4042712	4004644	4018158	3990976	4072095	4059584	4067847	4037263	4058504	4053124
N-tiw56n66_150	1325388	1340279	1743166	1742539	2029367	2030649	2041843	1992070	2062717	2058584	2060991	2057153	2057072	2071245
N-tiw56n66_250	3659951	3678745	4516128	4521109	5213404	5192693	5182390	5157106	5283428	5248847	5253562	5254980	5257866	5219360
N-tiw56n67_150	1597567	1604879	2022924	2022327	2311390	2288613	2286188	2289935	2330322	2322902	2308001	2305812	2335992	2338497
N-tiw56n67_250	4243100	4242752	5286358	5288322	6158030	6130215	6169599	6120778	6215871	6131092	6218639	6228029	6233647	6225103
N-tiw56n72_150	2511906	2503278	3500512	3502301	4016039	3982943	4008340	3936176	4023623	4057011	4068537	4024242	4063343	4058852
N-tiw56n72_250	7458982	7461125	9432888	9432362	10899326	10805211	10890477	10800179	10936447	10883000	10996097	10996057	10987412	11014874
N-tiw56r54_150	624466	632879	802129	802699	930682	916284	927425	914344	937027	938112	943504	939999	930689	945857
N-tiw56r54_250	1645440	1646792	2000534	2000009	2327153	2305115	2309958	2301150	2331852	2348064	2336229	2322494	2342365	2347515
N-tiw56r58_150	806469	803090	1008879	1008396	1181271	1171784	1191130	1174171	1195992	1185238	1193581	1191670	1198582	1196119
N-tiw56r58_250	2181605	2184686	2581855	2582642	2973581	2956496	2966777	2965452	2999686	2981062	2999376	2980782	2994446	2997969
N-tiw56r66_150	1250215	1251464	1613234	1612635	1866879	1870800	1880077	1849858	1895325	1886229	1889917	1892893	1905311	1899565
N-tiw56r66_250	3360563	3371919	4134423	4135197	4802217	4753431	4791704	4776037	4841250	4826698	4845527	4829854	4841814	4851997
N-tiw56r67_150	1302211	1311015	1724489	1726434	1988965	1994607	1999757	1975258	2032630	2021961	2020973	2015860	2017057	2009699
N-tiw56r67_250	3469771	3469693	4425681	4424654	5163072	5111533	5151351	5072893	5156405	5194255	5202712	5202894	5181358	5194932
N-tiw56r72_150	1829418	1804294	2360333	2361394	2732312	2710114	2739065	2684657	2746807	2725285	2739782	2755797	2765161	2740384
N-tiw56r72_250	5184394	5195365	6274987	6276604	7249588	7176154	7266706	7163734	7331613	7247989	7305792	7306502	7297534	7308724


Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1											
N-be75eec_150	0.00032	0.000602	0.002039	0.002169	0.420372	0.077184	0.474988	0.125239	0.470459	0.127136	0.330925	0.116237	0.280743	0.22347											
N-be75eec_250	0.001532	0.003004	0.008797	0.009577	7.1855	1.06438	6.22784	0.870838	5.72342	1.11445	4.22582	1.07718	3.46975	2.42911											
N-be75np_150	0.000428	0.000842	0.001947	0.002339	0.448747	0.099702	0.390308	0.090089	0.453066	0.113828	0.331189	0.106157	0.279352	0.212033											
N-be75np_250	0.001858	0.003214	0.008895	0.009988	7.47276	1.0629	6.28055	0.911345	6.4939	1.06893	3.56468	1.03516	2.71554	2.1872											
N-be75oi_150	0.000254	0.000543	0.002199	0.002202	0.468452	0.111738	0.360336	0.091201	0.396437	0.108695	0.291069	0.114748	0.297568	0.194544											
N-be75oi_250	0.001272	0.002336	0.0082	0.008922	8.21684	1.06042	5.73333	0.9728	5.60793	1.01689	3.73485	1.06794	4.25678	2.3778											
N-be75tot_150	0.000569	0.000965	0.002104	0.002265	0.463393	0.082358	0.346902	0.080515	0.413473	0.132185	0.348587	0.124193	0.235413	0.197403											
N-be75tot_250	0.001803	0.003484	0.009011	0.01022	7.10984	1.05946	5.70234	1.01917	6.54109	1.21583	4.93176	1.10098	2.69439	2.58589											
N-stabu1_150	0.000494	0.001027	0.002061	0.00238	0.482955	0.085437	0.423384	0.088432	0.558523	0.116193	0.471041	0.114626	0.272323	0.248522											
N-stabu1_250	0.001771	0.003935	0.009058	0.0111	7.38919	1.11125	6.184	1.0077	6.89904	1.10648	4.50649	0.998862	2.32068	2.34011											
N-stabu2_150	0.000505	0.00082	0.002305	0.002297	0.55004	0.118114	0.414305	0.091621	0.544263	0.105071	0.383373	0.109423	0.263325	0.206086											
N-stabu2_250	0.001721	0.003786	0.009388	0.010819	6.54531	1.00904	5.35214	0.989373	6.01394	1.09023	4.03394	1.03418	2.70742	2.58426											
N-stabu3_150	0.000522	0.000868	0.001969	0.00281	0.488088	0.084874	0.364629	0.088856	0.559319	0.136449	0.303156	0.104301	0.233047	0.227737											
N-stabu3_250	0.001665	0.003911	0.009317	0.010248	7.81666	1.16281	5.26421	1.02586	7.06456	1.2316	4.98543	1.37662	3.23231	2.35569											
