"Algorithm","AvgDeviation","StdDeviation","TotalTime"
"cw best exchange",3.84647859542055,0.605362526315511,32.984542
"cw best insert",2.26075160751896,0.406486732229851,33.721006
"cw best transpose",17.0782965380855,1.60652513633773,0.219366
"cw first exchange",2.96599155796188,0.461316778539903,186.73983
"cw first insert",2.01644186517333,0.410891394421912,128.209018
"cw first transpose",17.0863064796604,1.60415989757747,0.214784
"random best exchange",3.60269525334958,0.504808182222973,35.813822
"random best insert",2.30370780652747,0.463517079929916,37.927686
"random best transpose",34.4701410687722,3.80329705281302,0.00345
"random first exchange",2.81587265057419,0.481039555694928,228.014699
"random first insert",2.0210621733403,0.450664420614614,189.887039
"random first transpose",34.6058415599494,3.79836128294389,0.002359
