Instance Method Cost Time
N-tiw56n62_150 vnd-tei 1592233 0.208907
N-tiw56n62_150 vnd-tie 1591811 0.112658
N-tiw56n62_250 vnd-tei 4058504 2.49875
N-tiw56n62_250 vnd-tie 4053124 1.68253
N-tiw56n66_150 vnd-tei 2057072 0.153273
N-tiw56n66_150 vnd-tie 2071245 0.130842
N-tiw56n66_250 vnd-tei 5257866 2.28347
N-tiw56n66_250 vnd-tie 5219360 1.7813
N-tiw56n67_150 vnd-tei 2335992 0.186801
N-tiw56n67_150 vnd-tie 2338497 0.134235
N-tiw56n67_250 vnd-tei 6233647 2.37071
N-tiw56n67_250 vnd-tie 6225103 1.63324
N-tiw56n72_150 vnd-tei 4063343 0.165144
N-tiw56n72_150 vnd-tie 4058852 0.139851
N-tiw56n72_250 vnd-tei 10987412 2.23003
N-tiw56n72_250 vnd-tie 11014874 1.75616
N-tiw56r54_150 vnd-tei 930689 0.15229
N-tiw56r54_150 vnd-tie 945857 0.124074
N-tiw56r54_250 vnd-tei 2342365 2.35439
N-tiw56r54_250 vnd-tie 2347515 1.72475
N-tiw56r58_150 vnd-tei 1198582 0.176924
N-tiw56r58_150 vnd-tie 1196119 0.12532
N-tiw56r58_250 vnd-tei 2994446 2.25242
N-tiw56r58_250 vnd-tie 2997969 1.54278
N-tiw56r66_150 vnd-tei 1905311 0.207567
N-tiw56r66_150 vnd-tie 1899565 0.155762
N-tiw56r66_250 vnd-tei 4841814 2.08333
N-tiw56r66_250 vnd-tie 4851997 1.80589
N-tiw56r67_150 vnd-tei 2017057 0.198445
N-tiw56r67_150 vnd-tie 2009699 0.148387
N-tiw56r67_250 vnd-tei 5181358 2.20507
N-tiw56r67_250 vnd-tie 5194932 1.86544
N-tiw56r72_150 vnd-tei 2765161 0.239543
N-tiw56r72_150 vnd-tie 2740384 0.123763
N-tiw56r72_250 vnd-tei 7297534 2.17887
N-tiw56r72_250 vnd-tie 7308724 1.76819
