Instance Init Pivot Neighborhood Cost Time
N-stabu2_150 cw best exchange 4159195 0.088536
N-stabu2_150 cw best insert 4247598 0.087572
N-stabu2_250 random first transpose 8062091 3.7e-05
N-stabu2_250 random first exchange 11173048 5.32783
N-stabu2_250 random first insert 11246083 4.81477
N-stabu2_250 random best transpose 8105175 6.4e-05
N-stabu2_250 random best exchange 11086653 0.825272
N-stabu2_250 random best insert 11282792 0.830158
N-stabu2_250 cw first transpose 9628765 0.004809
N-stabu2_250 cw first exchange 11207951 4.49398
N-stabu2_250 cw first insert 11262894 3.25831
N-stabu2_250 cw best transpose 9631344 0.004448
N-stabu2_250 cw best exchange 11077273 0.848478
N-stabu2_250 cw best insert 11228075 0.774509
N-stabu3_150 random first transpose 2651712 2.2e-05
N-stabu3_150 random first exchange 4398699 0.501887
N-stabu3_150 random first insert 4459764 0.446157
N-stabu3_150 random best transpose 2647243 2.4e-05
N-stabu3_150 random best exchange 4350861 0.078378
N-stabu3_150 random best insert 4432284 0.100513
N-stabu3_150 cw first transpose 3677434 0.000988
N-stabu3_150 cw first exchange 4379297 0.352665
N-stabu3_150 cw first insert 4413988 0.236498
N-stabu3_150 cw best transpose 3677376 0.000963
N-stabu3_150 cw best exchange 4348236 0.084545
N-stabu3_150 cw best insert 4427867 0.073752
N-stabu3_250 random first transpose 7552108 3.9e-05
N-stabu3_250 random first exchange 11567513 6.32108
N-stabu3_250 random first insert 11751489 5.022
N-stabu3_250 random best transpose 7592894 7.2e-05
N-stabu3_250 random best exchange 11549906 0.864911
N-stabu3_250 random best insert 11614266 0.847198
N-stabu3_250 cw first transpose 9911132 0.004317
N-stabu3_250 cw first exchange 11532169 4.30135
N-stabu3_250 cw first insert 11603474 3.28105
N-stabu3_250 cw best transpose 9911575 0.00441
N-stabu3_250 cw best exchange 11442051 0.800036
N-stabu3_250 cw best insert 11609572 0.905985
N-t59b11xx_150 random first transpose 2190795 1.6e-05
N-t59b11xx_150 random first exchange 3173245 0.323363
N-t59b11xx_150 random first insert 3187265 0.315187
N-t59b11xx_150 random best transpose 2197385 2e-05
N-t59b11xx_150 random best exchange 3127495 0.073679
N-t59b11xx_150 random best insert 3173655 0.095037
N-t59b11xx_150 cw first transpose 2585050 0.001211
N-t59b11xx_150 cw first exchange 3132950 0.279819
N-t59b11xx_150 cw first insert 3184855 0.20027
N-t59b11xx_150 cw best transpose 2585170 0.000985
N-t59b11xx_150 cw best exchange 3111280 0.072243
N-t59b11xx_150 cw best insert 3167600 0.113279
N-t59b11xx_250 random first transpose 5591620 3.4e-05
N-t59b11xx_250 random first exchange 8156485 4.17239
N-t59b11xx_250 random first insert 8225225 3.88497
N-t59b11xx_250 random best transpose 5591855 3.9e-05
N-t59b11xx_250 random best exchange 8109395 0.855867
N-t59b11xx_250 random best insert 8146530 0.903845
N-t59b11xx_250 cw first transpose 6959720 0.004571
N-t59b11xx_250 cw first exchange 8186740 3.47425
N-t59b11xx_250 cw first insert 8239265 2.50988
N-t59b11xx_250 cw best transpose 6960005 0.005941
N-t59b11xx_250 cw best exchange 8020060 0.819917
N-t59b11xx_250 cw best insert 8204410 0.757705
N-t59d11xx_150 random first transpose 944878 1.5e-05
N-t59d11xx_150 random first exchange 1420614 0.37135
N-t59d11xx_150 random first insert 1433021 0.363185
N-t59d11xx_150 random best transpose 945637 3.2e-05
N-t59d11xx_150 random best exchange 1408677 0.093357
N-t59d11xx_150 random best insert 1434708 0.098582
N-t59d11xx_150 cw first transpose 1171043 0.001028
N-t59d11xx_150 cw first exchange 1414828 0.315099
N-t59d11xx_150 cw first insert 1441646 0.247722
N-t59d11xx_150 cw best transpose 1170919 0.001004
N-t59d11xx_150 cw best exchange 1406762 0.089604
N-t59d11xx_150 cw best insert 1428840 0.090923
N-t59d11xx_250 random first transpose 2676664 4e-05
N-t59d11xx_250 random first exchange 3749417 4.30588
N-t59d11xx_250 random first insert 3774817 3.8891
N-t59d11xx_250 random best transpose 2685286 5.9e-05
N-t59d11xx_250 random best exchange 3714911 0.741327
N-t59d11xx_250 random best insert 3782677 0.855058
N-t59d11xx_250 cw first transpose 3256840 0.004423
N-t59d11xx_250 cw first exchange 3741020 3.3188
N-t59d11xx_250 cw first insert 3762182 2.52856
N-t59d11xx_250 cw best transpose 3257523 0.004543
N-t59d11xx_250 cw best exchange 3703788 0.747452
N-t59d11xx_250 cw best insert 3760870 0.755368
N-t59f11xx_150 random first transpose 1017299 1.6e-05
N-t59f11xx_150 random first exchange 1489560 0.323808
N-t59f11xx_150 random first insert 1514993 0.305877
N-t59f11xx_150 random best transpose 1020804 1.9e-05
N-t59f11xx_150 random best exchange 1490221 0.077729
N-t59f11xx_150 random best insert 1518942 0.100231
N-t59f11xx_150 cw first transpose 1252527 0.000985
N-t59f11xx_150 cw first exchange 1500765 0.249916
N-t59f11xx_150 cw first insert 1504730 0.16255
N-t59f11xx_150 cw best transpose 1252486 0.000957
